content_id,version,educational_reviewer,answer_reviewer,license_reviewer,accessibility_reviewer,reviewed_at,conclusion,notes,source_lineage_confirmed,release_batch
math.linear_equations.001,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.002,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.003,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.004,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.005,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.006,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.007,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.008,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.009,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.010,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.011,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.linear_equations.012,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.systems_equations.001,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.systems_equations.002,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.systems_equations.003,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.systems_equations.004,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.systems_equations.005,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.systems_equations.006,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
math.systems_equations.007,1,sim.edu.rev-20260807,sim.ans.rev-20260807,sim.lic.rev-20260807,sim.a11y.rev-20260807,2026-08-07T00:00:00Z,approved,sympy re-solve 55/55; schema+hash ok; no copied wording; plain-ascii math,yes,simulated-formal-review-20260807
