id,source_id,review_route,quality_score,primary_skill,prerequisite,license_decision,age_decision,title_or_question,canonical_url
deepmind-04546a2f35606c7f,deepmind_mathematics_dataset,ready_for_rewrite,88,systems_equations,,clear_for_candidate_generation,clear_for_candidate_review,"Let t(m) = -10*m - 148. Let c be t(-15). Solve -4*z - c*j = 12, -4*z + 2 = -0*z - 5*j for z.",
deepmind-06f5a4960b9c23cf,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,"In base 7, what is -1001031 + 155?",
deepmind-0792a20c0b670455,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many millennia are there in 86438.06 centuries?,
deepmind-09426149bc9ea4e1,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Let d = -4711 + 4726. Solve d*h - 10 = 20*h for h.,
deepmind-09b278a7417942c4,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let x(b) = b**3 - b + 4. Suppose 4*q = 3*q. Let h be (q/(3 + 0))/2. Let s be (3 - (3 + h))/2. Determine x(s).,
deepmind-0a43f86d17301661,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Solve -149 = 25*x + 26 for x.,
deepmind-0c099146f8bb26e0,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Put together -323979237 and 0.1.,
deepmind-1316a160c2178a4c,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,"In base 8, what is -1375 + -3015?",
deepmind-1410f9b32e0bdc6c,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,"In base 5, what is -2112011 + -10?",
deepmind-15d9571b0d8ae88a,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many minutes are there between 10:38 PM and 7:44 AM?,
deepmind-178efba72a76985b,deepmind_mathematics_dataset,ready_for_rewrite,88,functions_models,,clear_for_candidate_generation,clear_for_candidate_review,Let v(j) = 3*j**3 + 16*j**2 - 10*j + 2. Give v(-6).,
deepmind-1a2a122617eaeb05,deepmind_mathematics_dataset,ready_for_rewrite,88,,arithmetic_operations,clear_for_candidate_generation,clear_for_candidate_review,Calculate -1674.9 - 12.34.,
deepmind-1f352031d8704b63,deepmind_mathematics_dataset,ready_for_rewrite,88,linear_equations,,clear_for_candidate_generation,clear_for_candidate_review,Let o(l) = 5*l**2 - 4*l**2 + 3*l - 3*l + 2 - 2*l. Let i be o(2). Solve 0 = -2*n - 4 + i for n.,
deepmind-1f526c2e0676b707,deepmind_mathematics_dataset,ready_for_rewrite,88,ratios_percentages,,clear_for_candidate_generation,clear_for_candidate_review,How many minutes are there between 12:04 PM and 2:49 PM?,
